iter	Passed	Remaining
0	4	4574
1	8	4375
2	12	4318
3	17	4277
4	21	4221
5	25	4223
6	30	4278
7	34	4234
8	38	4196
9	42	4165
10	46	4146
11	50	4150
12	54	4173
13	59	4164
14	63	4155
15	67	4137
16	71	4131
17	76	4172
18	80	4181
19	85	4184
20	89	4179
21	93	4159
22	97	4157
23	101	4142
24	105	4115
25	109	4097
26	113	4097
27	117	4082
28	122	4095
29	126	4093
30	130	4091
31	135	4084
32	139	4075
33	142	4059
34	146	4045
35	150	4033
36	154	4027
37	158	4022
38	162	4013
39	167	4016
40	171	4012
41	175	4003
42	179	3992
43	183	3985
44	187	3987
45	192	3986
46	196	3979
47	200	3979
48	204	3971
49	208	3967
50	212	3955
51	216	3946
52	220	3937
53	224	3931
54	227	3917
55	231	3901
56	234	3885
57	237	3862
58	241	3857
59	244	3826
60	248	3820
61	251	3811
62	255	3796
63	258	3778
64	262	3770
65	266	3767
66	269	3748
67	273	3749
68	277	3738
69	280	3731
70	284	3726
71	287	3708
72	290	3693
73	294	3679
74	297	3673
75	300	3652
76	304	3650
77	307	3639
78	310	3625
79	314	3621
80	317	3605
81	321	3593
82	324	3588
83	328	3577
84	331	3572
85	335	3565
86	338	3551
87	341	3540
88	345	3538
89	348	3524
90	352	3520
91	356	3519
92	359	3507
93	363	3505
94	367	3499
95	370	3489
96	374	3485
97	378	3479
98	381	3472
99	385	3471
100	388	3458
101	392	3455
102	396	3452
103	399	3439
104	402	3432
105	406	3430
106	409	3419
107	413	3417
108	417	3413
109	420	3402
110	424	3398
111	427	3390
112	431	3384
113	435	3382
114	438	3376
115	442	3368
116	446	3366
117	449	3359
118	453	3353
119	456	3351
120	460	3341
121	464	3340
122	468	3337
123	470	3326
124	474	3322
125	478	3319
126	481	3313
127	486	3311
128	488	3300
129	492	3294
130	495	3288
131	499	3287
132	503	3279
133	506	3276
134	510	3268
135	513	3265
136	517	3258
137	521	3255
138	524	3251
139	528	3245
140	532	3242
141	535	3234
142	539	3231
143	542	3223
144	546	3220
145	549	3214
146	553	3212
147	557	3206
148	560	3203
149	564	3196
150	567	3188
151	571	3185
152	574	3177
153	578	3175
154	582	3173
155	586	3172
156	590	3171
157	594	3168
158	598	3166
159	602	3164
160	606	3162
161	611	3161
162	615	3159
163	619	3156
164	623	3152
165	626	3146
166	630	3144
167	634	3141
168	638	3137
169	642	3137
170	646	3134
171	650	3131
172	654	3129
173	658	3125
174	662	3124
175	666	3121
176	670	3116
177	674	3115
178	678	3111
179	682	3109
180	686	3105
181	690	3102
182	694	3098
183	697	3095
184	701	3089
185	705	3086
186	709	3083
187	713	3079
188	717	3077
189	721	3075
190	725	3071
191	729	3069
192	733	3065
193	737	3062
194	741	3059
195	745	3057
196	749	3053
197	753	3051
198	757	3048
199	761	3046
200	765	3043
201	769	3039
202	773	3035
203	777	3031
204	780	3028
205	784	3025
206	788	3021
207	792	3018
208	796	3015
209	801	3013
210	805	3012
211	809	3010
212	813	3006
213	817	3004
214	822	3002
215	826	3000
216	830	2997
217	834	2994
218	838	2991
219	842	2988
220	846	2985
221	850	2980
222	854	2977
223	858	2973
224	862	2969
225	866	2966
226	870	2965
227	875	2963
228	879	2960
229	883	2957
230	887	2954
231	891	2951
232	895	2948
233	899	2944
234	903	2941
235	907	2937
236	911	2933
237	915	2931
238	919	2927
239	923	2924
240	927	2922
241	931	2919
242	935	2914
243	939	2911
244	943	2907
245	947	2904
246	951	2901
247	956	2898
248	959	2895
249	963	2891
250	967	2887
251	971	2884
252	975	2881
253	979	2876
254	983	2872
255	987	2869
256	991	2866
257	995	2862
258	999	2858
259	1002	2854
260	1006	2850
261	1011	2848
262	1015	2845
263	1019	2841
264	1023	2837
265	1027	2834
266	1031	2831
267	1035	2827
268	1039	2824
269	1043	2820
270	1047	2817
271	1051	2813
272	1055	2810
273	1059	2807
274	1063	2802
275	1067	2799
276	1071	2795
277	1075	2792
278	1079	2789
279	1083	2785
280	1087	2782
281	1091	2778
282	1095	2774
283	1098	2770
284	1103	2767
285	1106	2763
286	1111	2760
287	1115	2757
288	1119	2754
289	1123	2750
290	1127	2746
291	1131	2744
292	1135	2739
293	1139	2735
294	1143	2733
295	1148	2731
296	1152	2726
297	1154	2719
298	1158	2715
299	1160	2708
300	1165	2705
301	1168	2701
302	1172	2695
303	1175	2691
304	1178	2684
305	1181	2680
306	1184	2673
307	1187	2668
308	1191	2663
309	1194	2658
310	1197	2653
311	1200	2648
312	1204	2643
313	1207	2638
314	1209	2629
315	1211	2623
316	1214	2617
317	1217	2611
318	1221	2608
319	1224	2602
320	1227	2596
321	1230	2591
322	1233	2584
323	1236	2579
324	1239	2574
325	1243	2571
326	1248	2568
327	1251	2563
328	1254	2559
329	1257	2553
330	1261	2550
331	1264	2544
332	1268	2539
333	1271	2535
334	1274	2530
335	1278	2526
336	1281	2520
337	1285	2517
338	1288	2511
339	1291	2506
340	1295	2503
341	1298	2497
342	1302	2494
343	1305	2489
344	1309	2485
345	1313	2481
346	1316	2476
347	1319	2472
348	1322	2466
349	1326	2463
350	1330	2460
351	1334	2456
352	1337	2451
353	1341	2447
354	1344	2442
355	1347	2437
356	1350	2433
357	1353	2427
358	1358	2424
359	1360	2419
360	1364	2414
361	1367	2410
362	1370	2405
363	1374	2401
364	1377	2395
365	1380	2392
366	1384	2387
367	1387	2383
368	1391	2378
369	1394	2374
370	1398	2371
371	1401	2365
372	1405	2362
373	1408	2357
374	1412	2354
375	1415	2349
376	1419	2346
377	1422	2341
378	1426	2337
379	1430	2334
380	1434	2331
381	1439	2328
382	1443	2324
383	1447	2321
384	1451	2318
385	1455	2315
386	1459	2311
387	1463	2308
388	1467	2304
389	1471	2301
390	1475	2297
391	1479	2294
392	1482	2290
393	1486	2286
394	1490	2283
395	1494	2279
396	1498	2276
397	1502	2273
398	1506	2269
399	1510	2266
400	1515	2263
401	1518	2259
402	1522	2255
403	1526	2252
404	1530	2248
405	1534	2245
406	1538	2242
407	1542	2238
408	1546	2234
409	1550	2230
410	1554	2227
411	1558	2224
412	1562	2221
413	1566	2217
414	1570	2214
415	1575	2211
416	1579	2207
417	1583	2204
418	1587	2200
419	1590	2196
420	1594	2192
421	1598	2189
422	1601	2184
423	1605	2181
424	1608	2176
425	1611	2171
426	1615	2167
427	1618	2162
428	1621	2158
429	1624	2153
430	1627	2149
431	1631	2145
432	1634	2140
433	1637	2135
434	1640	2131
435	1644	2126
436	1647	2122
437	1650	2117
438	1653	2113
439	1656	2108
440	1659	2103
441	1663	2099
442	1666	2095
443	1669	2090
444	1673	2086
445	1676	2082
446	1678	2076
447	1681	2072
448	1685	2068
449	1688	2064
450	1692	2060
451	1696	2056
452	1699	2052
453	1703	2048
454	1706	2044
455	1710	2040
456	1713	2035
457	1717	2032
458	1720	2027
459	1723	2023
460	1726	2018
461	1729	2014
462	1732	2009
463	1736	2006
464	1739	2001
465	1742	1997
466	1745	1992
467	1748	1987
468	1752	1983
469	1755	1979
470	1759	1975
471	1761	1970
472	1765	1967
473	1769	1963
474	1772	1959
475	1776	1955
476	1779	1951
477	1783	1947
478	1785	1942
479	1789	1939
480	1793	1934
481	1796	1930
482	1799	1926
483	1802	1921
484	1806	1918
485	1809	1913
486	1813	1910
487	1816	1905
488	1820	1902
489	1823	1898
490	1827	1894
491	1831	1890
492	1834	1886
493	1838	1882
494	1842	1879
495	1846	1876
496	1851	1873
497	1855	1870
498	1860	1867
499	1864	1864
500	1868	1860
501	1871	1856
